Date,MV,SV,VAR,DIA
2017-05-19,3830451.937034033,3828126.206825047,4036496.5614954727,2770636.0848113084
2017-05-22,3861082.1122282916,3858794.8218162986,4067963.8463581,2782370.9827977065
2017-05-23,3865958.248127792,3863762.8553154045,4075902.094243164,2788638.4851313513
2017-05-24,3884262.952236785,3882063.9889294296,4092280.780613416,2797973.063075077
2017-05-25,3917977.3330846434,3915759.627712172,4130563.0805695113,2808107.747699694
2017-05-26,3912560.997243282,3910410.710808971,4126782.3742135204,2807574.343245766
2017-05-30,3907275.835122112,3905139.3279970996,4121291.9861403923,2803173.756500867
2017-05-31,3906738.050927688,3904576.77167098,4117607.5626189266,2800373.3831177494
2017-06-01,3955995.255337694,3953953.598005403,4168707.041038211,2819042.539005201
2017-06-02,3977925.6549154418,3975830.162281395,4191207.29274426,2825843.4457927723
2017-06-05,3967503.1649720976,3965457.0230913227,4182442.0684898784,2825176.6902253637
2017-06-06,3964285.5383705064,3962346.602931245,4182252.479867111,2818642.4856647556
2017-06-07,3990997.5151312463,3989086.7418716303,4206604.65332427,2823309.7746366183
2017-06-08,3981746.234891448,3979818.350315124,4196885.741693483,2825176.6902253637
2017-06-09,3981948.273145557,3980070.8598706513,4196025.254776608,2835978.130417389
2017-06-12,3945364.1089533293,3943412.014239232,4161416.7998395422,2832377.650353381
2017-06-13,3973419.152307554,3971430.438948052,4190338.924656869,2845312.7083611153
2017-06-14,3993908.4445603304,3991811.5130115165,4208153.907114517,2851580.2106947596
2017-06-15,3992810.6456931927,3990583.955289335,4205822.1788168,2849579.9439925323
2017-06-16,4014580.3701138226,4012407.998631571,4230849.726070499,2847846.3795172693
2017-06-19,4043440.118037182,4041151.078654372,4259668.757962013,2865982.1309507936
2017-06-20,4046647.2828913876,4044465.479668411,4258931.856481137,2859047.87304974
2017-06-21,4056675.421640155,4054592.526557171,4264039.247943515,2852246.9662621683
2017-06-22,4079125.3975901823,4077191.0081490395,4286047.973727151,2850113.3484464595
2017-06-23,4078028.492455922,4076218.0758250314,4283815.267821895,2850246.699559942
2017-06-26,4066587.4274475137,4064804.70391271,4272736.936227389,2851980.264035205
2017-06-27,4049154.431367747,4047323.6596842883,4251904.653654498,2839445.2593679163
2017-06-28,4068644.7539541074,4066787.4881009297,4276756.35872359,2856914.2552340315
2017-06-29,4041626.4840583266,4039835.223348861,4247085.018479982,2835178.023736499
2017-06-30,4047371.206945491,4045510.9478253433,4257402.058753756,2843579.143885852
2017-07-03,4058921.910464267,4057048.602916102,4267967.627756532,2860248.0330710765
2017-07-05,4089144.944923498,4087361.343366218,4299155.729404107,2861448.193092413
2017-07-06,4068961.42711998,4067161.3262428683,4274316.6413072,2842245.6327510336
2017-07-07,4100522.35438267,4098774.1911932817,4305351.213791508,2854380.5840778775
2017-07-10,4090782.036334691,4088992.4480390702,4297888.462105146,2853580.4773969864
2017-07-11,4085245.3363015614,4083394.830111112,4291033.135155064,2853447.1262835045
2017-07-12,4107332.592282097,4105433.067186909,4316440.848738256,2870116.015468729
2017-07-13,4087792.0581616103,4085781.615491449,4298373.062719863,2873183.091078811
2017-07-14,4114075.116265536,4112109.6891660164,4326241.005340123,2883851.1801573546
2017-07-17,4110485.438980257,4108424.6570147634,4323402.000011517,2883317.7757034274
2017-07-18,4109201.0695048147,4107264.668586454,4320618.64124612,2876383.5178023735
2017-07-19,4141983.6470868276,4140029.8038140377,4356249.603881619,2884651.286838245
2017-07-20,4164601.7814074564,4163117.3126958045,4377888.042170652,2882917.722362982
2017-07-21,4165693.789017864,4164187.274566183,4375709.820800244,2874116.5488731833
2017-07-24,4144594.775753426,4143118.342540315,4356825.554533042,2868249.0998799843
2017-07-25,4185097.605531472,4183604.2026843275,4397979.863312402,2878517.1356180827
2017-07-26,4234838.381229366,4232908.914068076,4434189.886308167,2891185.4913988532
2017-07-27,4246379.252204365,4244185.197348778,4439689.081253675,2903320.442725697
2017-07-28,4261726.9653012995,4259594.41291153,4457396.431470122,2907320.976130151
2017-07-31,4270536.738828207,4268317.6506776605,4466620.896548854,2916388.851846913
2017-08-01,4259854.5277189715,4257668.174014758,4458748.577418625,2925323.3764501936
2017-08-02,4280725.937701931,4278571.811479705,4476138.482471362,2932257.634351247
2017-08-03,4292161.048090011,4290043.477330221,4492158.222305767,2934524.6032804376
2017-08-04,4288071.885941306,4285844.345419276,4492930.324198451,2941325.510068009
2017-08-07,4303743.151734777,4301437.076765962,4504369.879721551,2945059.3412454994
2017-08-08,4300742.635033364,4298446.054904068,4501906.321315095,2942925.7234297907
2017-08-09,4287937.282774455,4285640.366216878,4492422.196082634,2940392.0522736367
2017-08-10,4264673.423710372,4262427.138811565,4463121.9500497645,2915055.340712095
2017-08-11,4278405.558505828,4276085.553581494,4476466.310389911,2916388.851846913
2017-08-14,4297279.099171838,4294973.203036129,4498040.926604355,2933324.4432591014
2017-08-15,4313632.564539752,4311543.235144542,4509671.736564396,2935858.1144152554
2017-08-16,4312760.747433343,4310588.27284447,4510380.449779393,2939991.9989331914
2017-08-17,4281245.651466262,4279193.036898584,4475067.518509917,2904520.6027470334
2017-08-18,4263376.1761849215,4261365.412901026,4456293.420181581,2887451.660221363
2017-08-21,4279704.283590624,4277663.015846503,4471963.418098861,2890252.033604481
2017-08-22,4333568.848409651,4331548.657608502,4528705.422173744,2916255.5007334314
2017-08-23,4309873.011207432,4307877.717376081,4503690.219263481,2905987.464995333
2017-08-24,4312152.184673811,4310203.732849858,4506665.12712275,2902520.336044806
2017-08-25,4301320.9317923905,4299328.824479395,4498944.081646199,2907587.6783571145
2017-08-28,4316498.620630621,4314417.255825597,4512835.876668034,2906254.1672222964
2017-08-29,4344319.7103852155,4342326.088678523,4540555.591095128,2914921.9895986132
